pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"Kepler-1627 b",,,,,,
"HD 20781 b","K0 V",,,,,
"Kepler-1128 b",,,,,,
"Kepler-948 b",,,,,,
"Kepler-360 c",,,,,,
"Kepler-293 c",,,,,,
"Kepler-174 b",,,,,,
"Kepler-610 b",,,,,,
"Kepler-283 b",,,,,,
"Kepler-214 b",,,,,,
"Kepler-348 b",,,,,,
"Kepler-225 b",,,,,,
"Kepler-1323 b",,,,,,
"Kepler-1243 b",,,,,,
"Kepler-382 c",,,,,,
"Kepler-79 d",,,,,,
"Kepler-911 b",,,,,,
"Kepler-597 b",,,,,,
"Kepler-224 c",,,,,,
"Kepler-688 b",,,,,,
"Kepler-1620 b",,,,,,
"Kepler-155 b",,,,,,
"Kepler-1144 b",,,,,,
"Kepler-306 d",,,,,,
"Kepler-112 b",,,,,,
"Kepler-327 c",,,,,,
"Kepler-1617 b",,,,,,
"Kepler-736 b",,,,,,
"Kepler-287 c",,,,,,
"Kepler-1066 b",,,,,,
"Kepler-306 b",,,,,,
"Kepler-254 c",,,,,,
"Kepler-341 c",,,,,,
"Kepler-257 d",,,,,,
"Kepler-1194 b",,"16.2417000&plusmn;0.0062746","14.9331000&plusmn;0.0036936","14.1181000&plusmn;0.0048659","14.1075000&plusmn;0.0036804","14.0632000&plusmn;0.0043673"
"Kepler-267 d",,,,,,
"Kepler-1420 b",,,,,,
"Kepler-110 b",,,,,,
"Kepler-331 c",,,,,,
"Kepler-386 c",,,,,,
"Kepler-1039 b",,,,,,
"Kepler-85 e",,,,,,
"Kepler-368 c",,,,,,
"Kepler-860 b",,,,,,
"K2-270 c",,"16.6905000&plusmn;0.0081678","15.1251000&plusmn;0.0052321","13.5620000&plusmn;0.0024992","13.3068000&plusmn;0.0016247","13.412500&plusmn;0.005104"
"Kepler-1093 b",,,,,,
"Kepler-356 c",,"15.1396000&plusmn;0.0053606","14.6274000&plusmn;0.0065399","13.0849000&plusmn;0.0017654","14.4178000&plusmn;0.0106373","13.5573000&plusmn;0.0056004"
"Kepler-1158 b",,,,,,
"Kepler-286 d",,,,,,
"Kepler-248 b",,,,,,
"Kepler-184 c",,,,,,
"Kepler-1388 c",,,,,,
"Kepler-150 d",,,,,,
"Kepler-204 b",,,,,,
"Kepler-296 c",,,,,,
"Kepler-1200 b",,,,,,
"HD 110014 b",,,,,,
"HD 2039 b",,,,,,
"Kepler-142 d",,,,,,
"Kepler-28 b",,,,,,
"Kepler-1549 b",,"17.9378000&plusmn;0.0124004","15.7935000&plusmn;0.0032263","15.0594000&plusmn;0.0036555","14.8274000&plusmn;0.0039372","14.7034000&plusmn;0.0043667"
"Kepler-1510 b",,,,,,
"Kepler-1186 b",,,,,,
"Kepler-1580 b",,,,,,
"Kepler-825 b",,,,,,
"Kepler-1344 b",,,,,,
"Kepler-496 b",,,,,,
"Kepler-186 e",,,,,,
"Kepler-745 b",,"17.1908000&plusmn;0.0088178","15.6542000&plusmn;0.0032241","15.1154000&plusmn;0.0032255","14.9422000&plusmn;0.0036657","14.8472000&plusmn;0.0048671"
"Kepler-602 b",,,,,,
"Kepler-1344 b",,,,,,
"K2-349 b",,,,,,
"K2-352 c",,"15.077000&plusmn;0.010293","11.6343000&plusmn;0.0005516","11.1519000&plusmn;0.0004879","11.0194000&plusmn;0.0004968","11.3075000&plusmn;0.0020321"
"K2-352 d",,"15.077000&plusmn;0.010293","11.6343000&plusmn;0.0005516","11.1519000&plusmn;0.0004879","11.0194000&plusmn;0.0004968","11.3075000&plusmn;0.0020321"
"Kepler-231 b",,,,,,
"Kepler-729 b",,,,,,
"NGC 2682 Sand 364 b",,"15.3125000&plusmn;0.0083187","10.6997000&plusmn;0.0003173","9.4186200&plusmn;0.0002752","9.0979100&plusmn;0.0003871","9.174280&plusmn;0.000722"
"Kepler-1459 b",,,,,,
"Kepler-342 d",,,,,,
"Kepler-51 b",,,,,,
"Kepler-51 b",,,,,,
"Kepler-354 c",,,,,,
"Kepler-150 d",,,,,,
"Kepler-51 b",,,,,,
"Kepler-51 b",,,,,,
"Kepler-51 d",,,,,,
"Kepler-51 c",,,,,,
"Kepler-51 c",,,,,,
"Kepler-357 d",,,,,,
"Kepler-142 d",,,,,,
"Kepler-710 b",,,,,,
"Kepler-247 c",,,,,,
"Kepler-714 b",,,,,,
"Kepler-202 c",,"16.8641000&plusmn;0.0086852","14.9240000&plusmn;0.0041471","13.9552000&plusmn;0.0040048","13.6978000&plusmn;0.0025178","13.4632000&plusmn;0.0054708"
"Kepler-561 c",,,,,,
"Kepler-108 c",,,,,,
"Kepler-554 b",,,,,,
"Kepler-191 b",,,,,,
"Kepler-1035 b",,,,,,
"Kepler-194 b",,,,,,
"Kepler-241 c",,,,,,
"Kepler-272 c",,,,,,
"Kepler-349 b",,,,,,
"Kepler-171 c",,,,,,
"Kepler-368 b",,,,,,
"Kepler-275 c",,,,,,
"Kepler-518 b",,,,,,
"Kepler-983 b",,,,,,
"Kepler-642 b",,,,,,
"Kepler-674 b",,,,,,
"Kepler-527 b",,,,,,
"Kepler-524 b",,,,,,
"Kepler-903 c",,,,,,
"Kepler-1145 b",,,,,,
"Kepler-83 c",,,,,,
"Kepler-203 c",,,,,,
"Kepler-390 b",,,,,,
"Kepler-891 b",,,,,,
"Kepler-481 b",,,,,,
"Kepler-215 d",,,,,,
"Kepler-729 b",,,,,,
"Kepler-1069 b",,,,,,
"Kepler-971 b",,"15.3655000&plusmn;0.0044127","13.7637000&plusmn;0.0031201","13.1494000&plusmn;0.0024843","15.6093000&plusmn;0.0131124","12.8264000&plusmn;0.0036633"
"HD 31253 b",,,,,,
"Kepler-376 b",,"15.4435000&plusmn;0.0045307","14.1804000&plusmn;0.0029458","12.5531000&plusmn;0.0023992","15.5933000&plusmn;0.0133143","13.578700&plusmn;0.004189"
"Kepler-1212 b",,,,,,
"Kepler-206 b",,,,,,
"Kepler-1169 b",,,,,,
"Kepler-215 c",,,,,,
"Kepler-1074 b",,,,,,
"Kepler-202 b",,"16.8641000&plusmn;0.0086852","14.9240000&plusmn;0.0041471","13.9552000&plusmn;0.0040048","13.6978000&plusmn;0.0025178","13.4632000&plusmn;0.0054708"
"Lupus-TR-3 b",,,,,,
"Kepler-1422 b",,,,,,
"Kepler-920 c",,,,,,
"Kepler-678 b",,,,,,
"Kepler-755 b",,,,,,
"HD 34445 b",,,,,,
"HD 52265 b",,,,,,
"Kepler-1573 b",,,,,,
"GJ 581 c","M3 V",,,,,
"HIP 57274 b",,,,,,
"HD 285507 b",,"15.8498000&plusmn;0.0096778","11.2922000&plusmn;0.0006297","10.0401000&plusmn;0.0004557","9.6532400&plusmn;0.0009613","10.4877000&plusmn;0.0022389"
"HD 13808 b","K2 V",,,,,
"Kepler-1531 b",,"15.1237000&plusmn;0.0053682","12.9572000&plusmn;0.0040396","15.2024000&plusmn;0.0129755","14.5273000&plusmn;0.0123354","13.3651000&plusmn;0.0055851"
"HD 34445 c","G0 V",,,,,
"Kepler-631 b",,,,,,
"Kepler-39 b",,,,,,
"Kepler-275 c",,,,,,
"Kepler-1025 b",,,,,,
"Kepler-827 b",,,,,,
"Kepler-1014 b",,,,,,
"Kepler-185 c",,,,,,
"Kepler-317 c",,,,,,
"HD 49674 b",,,,,,
"Kepler-1036 b",,,,,,
"Kepler-1349 b",,,,,,
"Kepler-1365 b",,,,,,
"Kepler-333 c",,,,,,
"Kepler-372 c",,,,,,
"Kepler-69 c",,,,,,
"Kepler-258 b",,,,,,
"Kepler-853 b",,,,,,
"HD 11964 b",,,,,,
"Kepler-332 b",,,,,,
"Kepler-310 c",,,,,,
"Kepler-133 b",,,,,,
"Kepler-1535 b",,,,,,
"Kepler-828 b",,,,,,
"Kepler-118 b",,,,,,
"Kepler-1104 b",,,,,,
"Kepler-335 c",,,,,,
"K2-39 b",,"14.9806000&plusmn;0.0068325","11.4948000&plusmn;0.0005857","10.607200&plusmn;0.000496","10.3292000&plusmn;0.0005127","10.6531000&plusmn;0.0018425"
"K2-73 b",,"14.3929000&plusmn;0.0045608","12.4143000&plusmn;0.0014095","11.8450000&plusmn;0.0011792","13.2337000&plusmn;0.0047745","12.5888000&plusmn;0.0045115"
"HD 134987 c","G5 V",,,,,
"Kepler-380 c",,,,,,
"Kepler-286 b",,,,,,
"Kepler-111 b",,,,,,
"Kepler-639 b",,,,,,
"Kepler-184 d",,,,,,
"Kepler-178 c",,,,,,
"Kepler-264 b",,"15.0281000&plusmn;0.0046098","13.6810000&plusmn;0.0040768","13.9777000&plusmn;0.0088479","15.5291000&plusmn;0.0127702","12.9535000&plusmn;0.0041488"
"Kepler-873 b",,,,,,
"Kepler-479 b",,,,,,
"Kepler-1010 b",,,,,,
"Kepler-588 b",,,,,,
"Kepler-1030 b",,,,,,
"Kepler-982 b",,,,,,
"Kepler-375 c",,,,,,
"Kepler-387 b",,,,,,
"Kepler-123 c",,,,,,
"Kepler-774 b",,"14.9389000&plusmn;0.0049809","14.5235000&plusmn;0.0064155","12.8896000&plusmn;0.0016875","13.1165000&plusmn;0.0032472","13.4442000&plusmn;0.0056774"
"Kepler-261 c",,"16.1260000&plusmn;0.0061588","14.2516000&plusmn;0.0031631","12.1978000&plusmn;0.0022747","15.7464000&plusmn;0.0135906","13.1533000&plusmn;0.0036238"
"Kepler-325 d",,,,,,
"Kepler-133 c",,,,,,
"Kepler-606 b",,,,,,
"Kepler-231 c",,,,,,
"HD 92788 b","G6 V",,,,,
"HD 153950 b",,,,,,
"Kepler-329 b",,,,,,
"Kepler-386 b",,,,,,
"Kepler-1230 b",,,,,,
"Kepler-316 c",,,,,,
"Kepler-500 b",,,,,,
"Kepler-653 b",,,,,,
"Kepler-384 b",,,,,,
"HD 175541 b",,,,,,
"Kepler-1590 b",,,,,,
"Kepler-1382 b",,,,,,
"Kepler-1077 b",,,,,,
"Kepler-208 e",,,,,,
"Kepler-286 e",,,,,,
"Kepler-1083 b",,,,,,
"Kepler-185 b",,,,,,
"Kepler-1058 b",,,,,,
"Kepler-359 c",,,,,,
"Kepler-187 b",,,,,,
"Kepler-987 b",,,,,,
"Kepler-1101 b",,,,,,
"Kepler-1012 b",,,,,,
"Kepler-198 b",,"15.5229000&plusmn;0.0046532","14.0290000&plusmn;0.0028153","13.510000&plusmn;0.003117","16.1038000&plusmn;0.0139345","13.3041000&plusmn;0.0037945"
"Kepler-621 b",,,,,,
"Kepler-697 b",,,,,,
"Kepler-776 b",,,,,,
"Kepler-833 b",,,,,,
"Kepler-1562 b",,,,,,
"Kepler-117 c",,,,,,
"Kepler-1477 b",,,,,,
"Kepler-186 f","M1",,,,,
"Kepler-190 b",,,,,,
"HD 51608 c","G7 V",,,,,
"Kepler-1439 b",,,,,,
"Kepler-276 d",,,,,,
"HD 86081 b","F8",,,,,
"Kepler-484 b",,,,,,
"Kepler-1464 c",,"16.0861000&plusmn;0.0057317","14.6116000&plusmn;0.0030533","14.0589000&plusmn;0.0031384","13.8735000&plusmn;0.0032003","13.7938000&plusmn;0.0040275"
"Kepler-1335 b",,,,,,
"Kepler-183 c",,,,,,
"Kepler-276 b",,,,,,
"Kepler-282 e",,,,,,
"Kepler-509 b",,,,,,
"Kepler-240 c",,,,,,
"Kepler-570 b",,,,,,
"Kepler-870 b",,,,,,
"Kepler-1203 b",,,,,,
"Kepler-639 b",,,,,,
"Kepler-934 b",,,,,,
"Kepler-286 e",,,,,,
"Kepler-152 c",,,,,,
"Kepler-458 c",,,,,,
"Kepler-668 b",,,,,,
"K2-114 b",,"17.369900&plusmn;0.008918","15.0403000&plusmn;0.0036241","14.1861000&plusmn;0.0039127","13.9521000&plusmn;0.0039818","13.8308000&plusmn;0.0041164"
"TOI-1268 b","K1-K2","15.6091000&plusmn;0.0106854","11.4580000&plusmn;0.0009336","10.6580000&plusmn;0.0005582","10.4417000&plusmn;0.0010538","11.1362000&plusmn;0.0031859"
"Kepler-284 c",,,,,,
"Kepler-1264 b",,,,,,
"Kepler-1418 b",,,,,,
"Kepler-1478 b",,,,,,
"Kepler-132 d",,,,,,
"Kepler-530 b",,,,,,
"Kepler-1222 b",,,,,,
"Kepler-1223 b",,,,,,
"Kepler-1596 b",,,,,,
"Kepler-361 b",,,,,,
"Kepler-977 b",,,,,,
"Kepler-123 c",,,,,,
"Kepler-1391 b",,,,,,
"Kepler-997 b",,,,,,
"Kepler-439 b",,,,,,
"Kepler-332 c",,,,,,
"Kepler-1523 b",,,,,,
"Kepler-1501 b",,,,,,
"Kepler-819 b",,,,,,
"Kepler-325 b",,,,,,
"Kepler-1265 b",,,,,,
"Kepler-1043 b",,,,,,
"Kepler-1546 b",,,,,,
"Kepler-682 b",,,,,,
"Kepler-189 b",,,,,,
"Kepler-1431 b",,,,,,
"Kepler-1525 b",,,,,,
"Kepler-217 d",,,,,,
"Kepler-175 b",,,,,,
"Kepler-458 c",,,,,,
"Kepler-1528 b",,,,,,
"Kepler-241 b",,,,,,
"Kepler-81 b",,,,,,
"Gl 49 b","M1.5 V",,,,,
"Kepler-114 d",,,,,,
"Kepler-958 b",,,,,,
"Kepler-863 b",,,,,,
"Kepler-267 b",,,,,,
"Kepler-891 b",,,,,,
"Kepler-361 c",,,,,,
"Kepler-1529 b",,,,,,
"Kepler-1171 b",,,,,,
"Kepler-1247 b",,,,,,
"Kepler-1367 b",,,,,,
"Kepler-985 b",,,,,,
"Kepler-790 b",,"17.7453000&plusmn;0.0122027","15.8364000&plusmn;0.0034735","15.1059000&plusmn;0.0033068","14.8570000&plusmn;0.0034528","14.738500&plusmn;0.004527"
"Kepler-1411 b",,,,,,
"Kepler-308 b",,,,,,
"Kepler-310 c",,,,,,
"Kepler-322 b",,,,,,
"Kepler-973 b",,,,,,
"Kepler-81 c",,,,,,
"Kepler-677 b",,,,,,
"Kepler-274 c",,,,,,
"Kepler-1145 b",,,,,,
"Kepler-291 b",,,,,,
"Kepler-895 b",,,,,,
"Kepler-346 b",,,,,,
"Kepler-759 b",,,,,,
"Kepler-271 b",,,,,,
"Kepler-905 b",,,,,,
"Kepler-1037 b",,,,,,
"Kepler-377 c",,,,,,
"Kepler-383 c",,"18.2718000&plusmn;0.0161386","15.9767000&plusmn;0.0033959","14.9871000&plusmn;0.0034494","14.6389000&plusmn;0.0035336","14.438300&plusmn;0.004161"
"Kepler-1168 b",,,,,,
"Kepler-1326 b",,,,,,
"Kepler-1483 b",,,,,,
"Kepler-1142 b",,,,,,
"Kepler-256 b",,,,,,
"Kepler-260 b",,"16.4332000&plusmn;0.0068503","14.9118000&plusmn;0.0034831","14.8396000&plusmn;0.0101848","14.1150000&plusmn;0.0035839","14.0810000&plusmn;0.0046611"
"Kepler-1187 b",,"16.3779000&plusmn;0.0060739","15.0055000&plusmn;0.0030496","14.5290000&plusmn;0.0034577","14.3843000&plusmn;0.0033712","14.324500&plusmn;0.003857"
"Kepler-114 b",,,,,,
"Kepler-1355 b",,,,,,
"Kepler-1371 c",,,,,,
"Kepler-820 b",,,,,,
"Kepler-1310 b",,"16.1422000&plusmn;0.0056032","14.6133000&plusmn;0.0032563","14.051200&plusmn;0.002637","13.8680000&plusmn;0.0032784","13.790000&plusmn;0.004055"
"Kepler-176 d",,,,,,
"Kepler-122 b",,,,,,
"Kepler-978 b",,,,,,
"Kepler-1232 b",,,,,,
"Kepler-326 b",,,,,,
"Kepler-1075 b",,,,,,
"Kepler-79 e",,,,,,
"HD 200964 b",,,,,,
"Kepler-766 b",,"17.6964000&plusmn;0.0126126","16.1443000&plusmn;0.0033878","15.5792000&plusmn;0.0034646","15.3726000&plusmn;0.0035889","15.2866000&plusmn;0.0051072"
"Kepler-617 b",,,,,,
"Kepler-791 b",,,,,,
"Kepler-1205 b",,,,,,
"Kepler-988 b",,,,,,
"Kepler-241 c",,,,,,
"Kepler-371 b",,,,,,
"Kepler-516 b",,,,,,
"Kepler-1276 b",,,,,,
"Kepler-1383 b",,,,,,
"Kepler-1431 b",,,,,,
"Kepler-1650 b",,,,,,
"Kepler-1082 b",,,,,,
"BD+15 2375 b",,"15.5207000&plusmn;0.0115586","10.8903000&plusmn;0.0004042","10.0066000&plusmn;0.0002792","9.7151300&plusmn;0.0003429","10.3566000&plusmn;0.0016315"
"Kepler-1248 b",,,,,,
"Kepler-1366 b",,,,,,
"Kepler-307 c",,,,,,
"Kepler-1106 b",,,,,,
"HD 208527 b","M1 III",,,,,
"Kepler-637 b",,,,,,
"Kepler-1048 b",,,,,,
"Kepler-178 d",,,,,,
"Kepler-683 b",,,,,,
"Kepler-794 b",,"15.1677000&plusmn;0.0042072","13.915100&plusmn;0.002958","13.5033000&plusmn;0.0066675","13.5467000&plusmn;0.0023066","13.2616000&plusmn;0.0037515"
"Kepler-325 b",,,,,,
"Kepler-1388 c",,,,,,
"Kepler-322 c",,,,,,
"Kepler-622 b",,"18.648600&plusmn;0.019417","15.9586000&plusmn;0.0036302","14.6588000&plusmn;0.0036772","17.1285000&plusmn;0.0168567","13.830800&plusmn;0.004282"
"Kepler-180 c",,,,,,
"Kepler-201 c",,,,,,
"Kepler-1562 b",,,,,,
"Kepler-982 b",,,,,,
"Kepler-235 e",,"19.885200&plusmn;0.042516","17.2989000&plusmn;0.0046179","15.9719000&plusmn;0.0039174","15.4016000&plusmn;0.0040805","15.1016000&plusmn;0.0049271"
"Kepler-1240 b",,"16.1078000&plusmn;0.0057207","14.4875000&plusmn;0.0033072","13.8883000&plusmn;0.0026044","14.0550000&plusmn;0.0064269","13.6361000&plusmn;0.0039493"
"Kepler-1265 b",,,,,,
"HATS-36 b",,,,,,
"Kepler-156 b",,"16.9859000&plusmn;0.0086429","14.8927000&plusmn;0.0031969","14.1453000&plusmn;0.0030729","13.8927000&plusmn;0.0031364","13.7532000&plusmn;0.0037653"
"Kepler-1060 b",,"16.5130000&plusmn;0.0068613","15.1059000&plusmn;0.0030063","14.5760000&plusmn;0.0032302","14.9003000&plusmn;0.0083724","14.2696000&plusmn;0.0038455"
"Kepler-807 b",,,,,,
"Kepler-760 b",,,,,,
"Kepler-496 b",,,,,,
"Kepler-694 b",,,,,,
"Kepler-257 c",,,,,,
"Kepler-831 b",,,,,,
"Kepler-760 c",,,,,,
"Kepler-575 b",,"16.6989000&plusmn;0.0066788","15.2081000&plusmn;0.0029108","14.6596000&plusmn;0.0031517","14.4597000&plusmn;0.0031802","14.365000&plusmn;0.003834"
"Kepler-1253 b",,,,,,
"Kepler-1270 b",,,,,,
"Kepler-327 c",,,,,,
"Kepler-1105 b",,,,,,
"Kepler-1273 b",,,,,,
"Kepler-189 c",,,,,,
"Kepler-577 b",,,,,,
"Kepler-540 b",,,,,,
"Kepler-215 b",,,,,,
"Kepler-117 b",,,,,,
"Kepler-1153 b",,,,,,
"Kepler-1129 b",,,,,,
"Kepler-1195 b",,"18.4858000&plusmn;0.0176145","16.6262000&plusmn;0.0040084","15.8724000&plusmn;0.0040713","15.5791000&plusmn;0.0043095","15.4213000&plusmn;0.0057763"
"Kepler-390 b",,,,,,
"Kepler-1611 b",,,,,,
"Kepler-660 b",,,,,,
"Kepler-713 b",,,,,,
"Kepler-289 c",,,,,,
"Kepler-882 b",,,,,,
"Kepler-788 b",,,,,,
"Kepler-357 d",,,,,,
"HD 37124 c","G4 V",,,,,
"HD 92788 b",,,,,,
"HD 128311 c","K0 V",,,,,
"Kepler-245 c",,,,,,
"Kepler-322 b",,,,,,
"Kepler-1459 b",,,,,,
"Kepler-431 d",,,,,,
"Kepler-621 b",,,,,,
"Kepler-730 b",,,,,,
"Kepler-120 b",,"18.1673000&plusmn;0.0148624","15.7878000&plusmn;0.0032939","15.0778000&plusmn;0.0103561","14.3412000&plusmn;0.0034932","14.1126000&plusmn;0.0041246"
"Kepler-359 d",,,,,,
"Kepler-224 b",,,,,,
"Kepler-265 c",,,,,,
"Kepler-176 c",,,,,,
"Kepler-1392 b",,,,,,
"Kepler-256 d",,,,,,
"Kepler-803 b",,,,,,
"Kepler-135 b",,,,,,
"Kepler-1425 b",,,,,,
"Kepler-276 b",,,,,,
"Kepler-284 c",,,,,,
"Kepler-341 b",,,,,,
"Kepler-827 b",,,,,,
"HD 212771 b",,,,,,
"Kepler-374 d",,,,,,
"Kepler-722 b",,,,,,
"Kepler-863 b",,,,,,
"Kepler-310 c",,,,,,
"Kepler-1370 c",,,,,,
"Kepler-194 d",,,,,,
"Kepler-1254 d",,,,,,
"Kepler-1330 b",,,,,,
"Kepler-293 c",,,,,,
"Kepler-114 b","M0 V",,,,,
"Kepler-141 c",,,,,,
"Kepler-33 b",,,,,,
"Kepler-687 b",,,,,,
"Kepler-1252 b",,,,,,
"Kepler-331 d",,,,,,
"Kepler-28 c",,,,,,
"Kepler-117 b",,,,,,
"Kepler-892 b",,,,,,
"Kepler-888 b",,,,,,
"Kepler-908 b",,,,,,
"PSR B1257+12 d",,,,,,
"Kepler-463 b",,,,,,
"Kepler-563 b",,,,,,
"Kepler-1079 b",,,,,,
"Kepler-29 b",,,,,,
"Kepler-796 b",,"15.7097000&plusmn;0.0056518","14.2936000&plusmn;0.0033838","14.5620000&plusmn;0.0089114","15.0548000&plusmn;0.0112513","12.9378000&plusmn;0.0044439"
"Kepler-370 b",,,,,,
"Kepler-1605 b",,,,,,
"Kepler-1505 b",,,,,,
"Kepler-239 c",,,,,,
"EPIC 212624936 c",,,,,,
"Kepler-584 b",,,,,,
"Kepler-255 c",,,,,,
"Kepler-1372 b",,,,,,
"HD 222582 b",,,,,,
"HD 1461 b","G0 V",,,,,
"Kepler-1291 b",,,,,,
"Kepler-292 c",,,,,,
"Kepler-252 b",,,,,,
"Kepler-1117 b",,,,,,
"Kepler-599 b",,,,,,
"Kepler-156 b",,"16.9859000&plusmn;0.0086429","14.8927000&plusmn;0.0031969","14.1453000&plusmn;0.0030729","13.8927000&plusmn;0.0031364","13.7532000&plusmn;0.0037653"
"Kepler-781 b",,,,,,
"Kepler-874 b",,,,,,
"Kepler-1007 b",,,,,,
"Kepler-698 b",,,,,,
"Kepler-369 c",,,,,,
"61 Vir d","G5 V",,,,,
"Kepler-283 b",,,,,,
"Kepler-203 c",,,,,,
"Kepler-81 b","M0 V",,,,,
"Kepler-181 c",,,,,,
"Kepler-216 b",,,,,,
"Kepler-225 b","M1 V",,,,,
"Kepler-184 c",,,,,,
"Kepler-306 e",,,,,,
"Kepler-383 c",,"18.2718000&plusmn;0.0161386","15.9767000&plusmn;0.0033959","14.9871000&plusmn;0.0034494","14.6389000&plusmn;0.0035336","14.438300&plusmn;0.004161"
"Kepler-135 c",,,,,,
"Kepler-1536 b",,,,,,
"Kepler-934 b",,,,,,
"Kepler-80 b",,,,,,
"Kepler-238 c",,,,,,
"Kepler-1011 b",,,,,,
"Kepler-251 b",,,,,,
"Kepler-1115 b",,,,,,
"Kepler-140 b",,,,,,
"Kepler-801 b",,,,,,
"Kepler-793 b",,,,,,
"Kepler-241 c",,,,,,
"Kepler-1203 b",,,,,,
"Kepler-1370 b",,,,,,
"USco1621 b","M2.5 V",,,,,
"Kepler-169 f",,,,,,
"Kepler-80 e",,,,,,
"Kepler-1059 b",,,,,,
"Kepler-360 b",,,,,,
"Kepler-288 b",,"17.0466000&plusmn;0.0089288","15.6337000&plusmn;0.0031307","15.0933000&plusmn;0.0033426","14.8963000&plusmn;0.0034379","14.806800&plusmn;0.004559"
"Kepler-1499 b",,,,,,
"Gl 378 b","M1","14.7557000&plusmn;0.0063894","10.9083000&plusmn;0.0004818","9.5799200&plusmn;0.0003376","8.7279100&plusmn;0.0001255","8.9781300&plusmn;0.0010578"
"Kepler-1081 b",,,,,,
"Kepler-1440 b",,,,,,
"Kepler-1637 b",,,,,,
"Kepler-1495 b",,,,,,
"Kepler-84 e",,,,,,
"Kepler-143 c",,,,,,
"Kepler-561 c",,,,,,
"Kepler-549 d",,,,,,
"HD 10442 b",,,,,,
"Kepler-204 b",,,,,,
"Kepler-151 c",,,,,,
"Kepler-505 b",,,,,,
"Kepler-156 c",,"16.9859000&plusmn;0.0086429","14.8927000&plusmn;0.0031969","14.1453000&plusmn;0.0030729","13.8927000&plusmn;0.0031364","13.7532000&plusmn;0.0037653"
"Kepler-1218 b",,,,,,
"Kepler-1350 b",,,,,,
"Kepler-326 b",,,,,,
"Kepler-58 d",,,,,,
"Kepler-1487 b",,,,,,
"Kepler-79 e",,,,,,
"Kepler-1361 b",,,,,,
"Kepler-1089 b",,,,,,
"Kepler-363 c",,"15.8970000&plusmn;0.0063487","15.8793000&plusmn;0.0121241","13.3834000&plusmn;0.0025119","13.2330000&plusmn;0.0017851","13.4350000&plusmn;0.0059958"
"GJ 1061 d","M5.5 V",,,,,
"Kepler-221 e",,,,,,
"Kepler-1113 b",,"16.8197000&plusmn;0.0080615","15.2885000&plusmn;0.0030061","14.7170000&plusmn;0.0032956","14.5202000&plusmn;0.0033202","14.431500&plusmn;0.004072"
"Kepler-915 b",,,,,,
"Kepler-966 b",,,,,,
"Kepler-1401 b",,,,,,
"Kepler-339 b",,,,,,
"Kepler-809 b",,,,,,
"Kepler-342 d",,,,,,
"Kepler-737 b",,,,,,
"Kepler-843 b",,,,,,
"Kepler-165 b",,,,,,
"Kepler-340 c",,,,,,
"Kepler-1009 b",,,,,,
"Kepler-1509 b",,,,,,
"Kepler-204 b",,,,,,
"Kepler-640 b",,,,,,
"Kepler-554 b",,,,,,
"Kepler-101 b",,,,,,
"Kepler-245 b",,,,,,
"Kepler-222 b",,,,,,
"Kepler-417 c",,,,,,
"Kepler-1471 b",,,,,,
"HD 16141 b",,,,,,
"Kepler-1089 b",,,,,,
"Kepler-184 c",,,,,,
"Kepler-252 b",,,,,,
"Kepler-1055 b",,,,,,
"Kepler-1485 b",,,,,,
"Kepler-1539 b",,,,,,
"Kepler-895 b",,,,,,
"Kepler-911 b",,,,,,
"Kepler-346 b",,,,,,
"Kepler-558 b",,,,,,
"Kepler-140 b",,,,,,
"Kepler-184 b",,,,,,
"Kepler-374 d",,,,,,
"Kepler-732 b",,,,,,
"Kepler-483 b",,,,,,
"Kepler-621 b",,,,,,
"Kepler-1056 b",,,,,,
"K2-6 b",,"14.9712000&plusmn;0.0056746","14.9930000&plusmn;0.0105308","12.5697000&plusmn;0.0016726","12.4318000&plusmn;0.0014071","13.3033000&plusmn;0.0066872"
"Kepler-116 c",,,,,,
"Kepler-991 b",,,,,,
"Kepler-745 b",,"17.1908000&plusmn;0.0088178","15.6542000&plusmn;0.0032241","15.1154000&plusmn;0.0032255","14.9422000&plusmn;0.0036657","14.8472000&plusmn;0.0048671"
"Kepler-363 b",,"15.8970000&plusmn;0.0063487","15.8793000&plusmn;0.0121241","13.3834000&plusmn;0.0025119","13.2330000&plusmn;0.0017851","13.4350000&plusmn;0.0059958"
"Kepler-1585 b",,,,,,
"Kepler-758 d",,,,,,
"Kepler-1921 c",,,,,,
"Kepler-239 c",,,,,,
"Kepler-132 c",,,,,,
"Kepler-250 c",,,,,,
"Kepler-768 b",,,,,,
"Kepler-899 b",,,,,,
"Kepler-277 c",,"15.4529000&plusmn;0.0050516","14.7235000&plusmn;0.0073722","13.5345000&plusmn;0.0027619","13.8836000&plusmn;0.0078236","13.4571000&plusmn;0.0046273"
"Kepler-337 c",,,,,,
"Kepler-845 b",,,,,,
"Kepler-142 d",,,,,,
"Kepler-1328 b",,,,,,
"Kepler-1157 b",,,,,,
"Kepler-1332 b",,,,,,
"Kepler-292 c",,,,,,
"Kepler-857 b",,,,,,
"Kepler-67 b",,,,,,
"Kepler-1102 b",,,,,,
"Kepler-865 b",,,,,,
"Kepler-383 b",,"18.2718000&plusmn;0.0161386","15.9767000&plusmn;0.0033959","14.9871000&plusmn;0.0034494","14.6389000&plusmn;0.0035336","14.438300&plusmn;0.004161"
