pl_name,st_spectype,sy_umagstr,sy_gmagstr,sy_rmagstr,sy_imagstr,sy_zmagstr
"TOI-1199 b",,"14.6326000&plusmn;0.0055258","11.4744000&plusmn;0.0004968","10.919500&plusmn;0.000459","10.7700000&plusmn;0.0005267","11.3050000&plusmn;0.0026384"
"TOI-1273 b",,"14.614300&plusmn;0.007178","14.5396000&plusmn;0.0094737","14.2899000&plusmn;0.0103019","13.8026000&plusmn;0.0104669","12.8671000&plusmn;0.0125108"
"TOI-1347 b",,,,,,
"TOI-1347 c",,,,,,
"WASP-25 b",,,,,,
"WASP-124 b",,,,,,
"TOI-4860 b","M4.5+/-0.5",,,,,
"LHS 1140 b","M4.5 V",,,,,
"LHS 1140 c",,,,,,
"WASP-124 b","F9",,,,,
"WASP-25 b",,,,,,
"Teegarden's Star b",,,,,,
"Teegarden's Star c",,,,,,
"Teegarden's Star d",,,,,,
"TOI-1347 b",,,,,,
"TOI-1347 c",,,,,,
"TOI-1199 b",,"14.6326000&plusmn;0.0055258","11.4744000&plusmn;0.0004968","10.919500&plusmn;0.000459","10.7700000&plusmn;0.0005267","11.3050000&plusmn;0.0026384"
"TOI-1273 b",,"14.614300&plusmn;0.007178","14.5396000&plusmn;0.0094737","14.2899000&plusmn;0.0103019","13.8026000&plusmn;0.0104669","12.8671000&plusmn;0.0125108"
"WASP-25 b",,,,,,
"WASP-124 b",,,,,,
"TOI-4860 b","M3.5 V",,,,,
"LHS 1140 b","M4.5 V",,,,,
"LHS 1140 c","M4.5 V",,,,,
"TOI-5803 b",,"14.5452000&plusmn;0.0059654","11.258300&plusmn;0.000403","10.5275000&plusmn;0.0003791","10.2944000&plusmn;0.0002951","10.5927000&plusmn;0.0017177"
"TOI-836 b",,,,,,
"HD 23472 f",,,,,,
"K2-371 b",,"17.1025000&plusmn;0.0079979","15.1058000&plusmn;0.0034808","14.3425000&plusmn;0.0034247","14.0699000&plusmn;0.0036812","13.9497000&plusmn;0.0040976"
"TOI-3819 b",,"15.2379000&plusmn;0.0071857","12.9883000&plusmn;0.0013572","12.465400&plusmn;0.001074","12.345900&plusmn;0.001292","14.0777000&plusmn;0.0119447"
"TOI-4791 b",,,,,,
"TOI-3807 b",,,,,,
"TOI-4308 b",,,,,,
"TOI-4377 b",,,,,,
"TOI-1853 b","K2.5 V","15.5075000&plusmn;0.0069008","14.9806000&plusmn;0.0116585","11.984800&plusmn;0.000805","11.7529000&plusmn;0.0006576","11.8545000&plusmn;0.0035461"
"LHS 1815 b","M1",,,,,
"TOI-3912 b",,"15.2961000&plusmn;0.0076831","12.8825000&plusmn;0.0011295","12.3486000&plusmn;0.0008683","12.2196000&plusmn;0.0010658","13.4467000&plusmn;0.0075525"
"TOI-199 b",,,,,,
"HD 213885 b","G",,,,,
"TOI-444 b",,,,,,
"HD 118203 b","K0",,,,,
"HD 118203 b",,,,,,
"HD 118203 b",,,,,,
"Wolf 327 b",,"16.6342000&plusmn;0.0082649","15.6776000&plusmn;0.0145199","14.8390000&plusmn;0.0112747","14.9466000&plusmn;0.0132925","11.0601000&plusmn;0.0014384"
